id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
119;Marc Cucurella\Marc-Cucurella;es ESP;MFDF;Getafe;21;1998;24.8;5;0;0;49;43;2;70;42;16;1;0;0;13;23;56.5;13;0;63;100;63.0;37;Matches
120;Iván Cuéllar\Ivan-Cuellar;es ESP;GK;Leganés;35;1984;15.0;3;1;1;0;2;0;0;0;1;0;0;0;0;0;;0;0;0;2;0.0;2;Matches
121;Moanes Dabour\Moanes-Dabour;il ISR;FW;Sevilla;27;1992;0.3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
122;Sergi Darder\Sergi-Darder;es ESP;MFFW;Espanyol;25;1993;22.5;2;0;0;21;23;1;50;21;17;0;0;0;16;31;51.6;17;1;38;72;52.8;34;Matches
123;Ousmane Dembélé\Ousmane-Dembele;fr FRA;FW;Barcelona;22;1997;4.0;1;1;0;1;5;4;20;0;0;0;0;0;16;31;51.6;17;0;0;3;0.0;3;Matches
124;Deyverson\Deyverson;br BRA;FW;Getafe;28;1991;1.6;2;0;0;5;0;0;2;0;0;0;0;0;3;4;75.0;3;2;0;1;0.0;1;Matches
125;Mouctar Diakhaby\Mouctar-Diakhaby;fr FRA;DF;Valencia;22;1996;11.1;3;0;0;13;12;0;1;9;10;0;0;0;7;7;100.0;7;0;12;18;66.7;6;Matches
126;Brahim Díaz\Brahim-Diaz;es ESP;FWMF;Real Madrid;19;1999;0.3;0;0;0;0;4;0;0;0;0;0;0;0;1;3;33.3;1;0;0;0;;0;Matches
127;Víctor Díaz\Victor-Diaz;es ESP;DF;Granada;31;1988;23.7;3;0;0;15;7;1;95;30;39;0;0;0;9;16;56.3;9;1;56;84;66.7;28;Matches
128;Papakouli Diop\Papakouli-Diop;sn SEN;MF;Eibar;33;1986;17.7;6;0;0;36;26;1;6;18;28;0;0;0;3;5;60.0;4;0;28;49;57.1;21;Matches
129;Djené\Djene;tg TOG;DF;Getafe;27;1991;24.0;3;0;0;35;18;1;6;18;20;0;1;0;7;10;70.0;8;0;32;41;78.0;9;Matches
130;Marko Dmitrović\Marko-Dmitrovic;rs SRB;GK;Eibar;27;1992;24.0;3;0;0;1;1;0;0;0;2;0;0;0;0;0;;0;0;0;3;0.0;3;Matches
131;Jaume Doménech\Jaume-Domenech;es ESP;GK;Valencia;28;1990;11.7;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;0;0;2;0.0;2;Matches
132;Domingos Duarte\Domingos-Duarte;pt POR;DF;Granada;24;1995;24.5;5;0;0;26;15;3;0;10;22;0;3;0;4;6;66.7;6;1;17;23;73.9;6;Matches
133;Óscar Duarte\Oscar-Duarte;cr CRC;DF;Levante;30;1989;3.4;0;0;0;8;2;0;0;4;3;0;1;0;1;1;100.0;1;0;6;6;100.0;0;Matches
134;Rubén Duarte\Ruben-Duarte;es ESP;DF;Alavés;23;1995;25.0;9;0;0;36;31;0;53;33;37;1;4;0;4;9;44.4;5;0;61;83;73.5;22;Matches
135;Hugo Duro\Hugo-Duro;es ESP;FW;Getafe;19;1999;0.9;1;0;0;6;3;0;2;0;0;0;0;0;0;0;;0;0;1;2;50.0;1;Matches
136;Aritz Elustondo\Aritz-Elustondo;es ESP;DF;Real Sociedad;25;1994;9.3;1;0;0;5;6;0;0;8;8;0;0;0;0;1;0.0;0;0;20;29;69.0;9;Matches
137;Rodrigo Ely\Rodrigo-Ely;br BRA;DF;Alavés;25;1993;17.6;7;0;0;23;10;2;2;10;33;0;0;0;3;3;100.0;3;0;21;36;58.3;15;Matches
138;Adri Embarba\Adri-Embarba;es ESP;MFFW;Espanyol;27;1992;5.1;2;0;0;10;9;1;36;8;3;0;0;0;10;21;47.6;12;2;13;19;68.4;6;Matches
139;Emerson\Emerson;br BRA;DF;Betis;20;1999;21.5;8;0;0;28;59;1;49;31;21;0;0;0;15;28;53.6;16;2;51;85;60.0;34;Matches
140;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Sevilla;22;1997;3.3;0;0;0;4;4;7;4;2;0;0;0;0;1;4;25.0;1;0;2;5;40.0;3;Matches
141;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Leganés;22;1997;15.4;2;0;0;21;19;17;10;5;4;1;0;0;17;35;48.6;19;3;8;23;34.8;15;Matches
142;Sergi Enrich\Sergi-Enrich;es ESP;FW;Eibar;29;1990;15.1;3;0;0;49;18;14;2;14;8;0;0;0;6;9;66.7;7;3;18;26;69.2;8;Matches
