"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
94;Aziz Behich\Aziz-Behich;au AUS;DFFW;tr Başakşehir;28;1990;2;0;76;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
95;Felix Beijmo\Felix-Beijmo;se SWE;DF;se Malmö;21;1998;2;2;121;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.06;0.07;0.13;0.06;0.13;Matches
96;Abzal Beisebekov\Abzal-Beisebekov;kz KAZ;MFDF;kz Astana FK;26;1992;5;5;376;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.3;0.03;0.07;0.09;0.03;0.09;Matches
97;Vid Belec\Vid-Belec;si SVN;GK;cy APOEL;29;1990;7;7;630;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
98;Héctor Bellerín\Hector-Bellerin;es ESP;DF;eng Arsenal;24;1995;3;3;264;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.6;0.02;0.19;0.21;0.02;0.21;Matches
99;Lars Bender\Lars-Bender;de GER;DF;de Leverkusen;30;1989;2;2;135;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
100;Sven Bender\Sven-Bender;de GER;DF;de Leverkusen;30;1989;2;2;157;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
101;Nicklas Bendtner\Nicklas-Bendtner;dk DEN;FW;dk FC Copenhagen;31;1988;1;0;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
102;László Bénes\Laszlo-Benes;sk SVK;MF;de M'gladbach;21;1997;4;3;284;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.5;0.23;0.16;0.40;0.23;0.40;Matches
103;Pierre Bengtsson\Pierre-Bengtsson;se SWE;DF;dk FC Copenhagen;31;1988;7;6;536;0;2;0;0;0;0;0.00;0.34;0.34;0.00;0.34;0.1;0.1;0.5;0.01;0.08;0.09;0.01;0.09;Matches
104;Rasmus Bengtsson\Rasmus-Bengtsson;se SWE;DF;se Malmö;33;1986;8;7;638;1;0;0;0;1;0;0.14;0.00;0.14;0.14;0.14;0.8;0.8;0.0;0.11;0.00;0.11;0.11;0.11;Matches
