"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
93;Danilo Cataldi\Danilo-Cataldi;it ITA;MFFW;Lazio;24;1994;14;1;352;1;0;0;0;3;0;0.26;0.00;0.26;0.26;0.26;0.3;0.3;0.3;0.09;0.09;0.18;0.09;0.18;Matches
94;Federico Ceccherini\Federico-Ceccherini;it ITA;DF;Fiorentina;27;1992;7;3;366;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.03;0.01;0.04;0.03;0.04;Matches
95;Luca Ceppitelli\Luca-Ceppitelli;it ITA;DF;Cagliari;29;1989;9;8;712;2;0;0;0;4;0;0.25;0.00;0.25;0.25;0.25;0.3;0.3;0.0;0.03;0.00;0.03;0.03;0.03;Matches
96;Alberto Cerri\Alberto-Cerri;it ITA;FW;Cagliari;23;1996;11;1;235;1;0;0;0;1;0;0.38;0.00;0.38;0.38;0.38;0.6;0.6;0.2;0.22;0.06;0.27;0.22;0.27;Matches
97;Julian Chabot\Julian-Chabot;de GER;DF;Sampdoria;21;1998;6;5;457;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
98;Jhon Chancellor\Jhon-Chancellor;ve VEN;DF;Brescia;27;1992;22;22;1930;3;0;0;0;3;0;0.14;0.00;0.14;0.14;0.14;2.1;2.1;0.0;0.10;0.00;0.10;0.10;0.10;Matches
99;Giorgio Chiellini\Giorgio-Chiellini;it ITA;DF;Juventus;34;1984;3;2;157;1;0;0;0;0;0;0.57;0.00;0.57;0.57;0.57;0.3;0.3;0.0;0.18;0.00;0.18;0.18;0.18;Matches
100;Federico Chiesa\Federico-Chiesa;it ITA;FW;Fiorentina;21;1997;22;22;1855;7;3;1;2;4;0;0.34;0.15;0.49;0.29;0.44;8.0;6.4;2.7;0.39;0.13;0.52;0.31;0.44;Matches
101;Vlad Chiricheș\Vlad-Chiriches;ro ROU;DF;Sassuolo;29;1989;4;4;360;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.04;0.00;0.04;0.04;0.04;Matches
102;Luca Cigarini\Luca-Cigarini;it ITA;MF;Cagliari;33;1986;20;18;1503;0;4;0;0;5;0;0.00;0.24;0.24;0.00;0.24;0.3;0.3;2.8;0.02;0.17;0.19;0.02;0.19;Matches
103;Thiago Cionek\Thiago-Cionek;pl POL;DF;SPAL;33;1986;19;16;1504;0;1;0;0;9;0;0.00;0.06;0.06;0.00;0.06;0.4;0.4;1.0;0.02;0.06;0.08;0.02;0.08;Matches
