id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
137;Rubén Duarte\Ruben-Duarte;es ESP;DF;Alavés;23;1995;25.0;9;0;0;36;31;0;53;37;32;1;4;0;253;45;40;52.9;Matches
138;Hugo Duro\Hugo-Duro;es ESP;FW;Getafe;19;1999;0.9;1;0;0;6;3;0;2;0;0;0;0;0;3;2;9;18.2;Matches
139;Aritz Elustondo\Aritz-Elustondo;es ESP;DF;Real Sociedad;25;1994;10.3;1;0;0;5;6;0;0;10;9;0;0;0;97;47;21;69.1;Matches
140;Rodrigo Ely\Rodrigo-Ely;br BRA;DF;Alavés;25;1993;17.6;7;0;0;23;10;2;2;33;10;0;0;0;196;55;23;70.5;Matches
141;Adri Embarba\Adri-Embarba;es ESP;MFFW;Espanyol;27;1992;5.9;2;0;0;10;9;1;44;3;11;0;0;0;41;2;9;18.2;Matches
142;Emerson\Emerson;br BRA;DF;Betis;20;1999;22.5;8;0;0;29;60;1;52;22;32;0;0;0;160;45;24;65.2;Matches
143;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Leganés;22;1997;15.4;2;0;0;21;19;17;10;4;5;1;0;0;61;60;91;39.7;Matches
144;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Sevilla;22;1997;3.6;0;0;0;4;5;7;4;1;2;0;0;0;13;16;20;44.4;Matches
145;Sergi Enrich\Sergi-Enrich;es ESP;FW;Eibar;29;1990;16.1;4;0;0;51;18;15;4;8;15;0;0;0;70;69;126;35.4;Matches
146;Javier Eraso\Javier-Eraso;es ESP;MFFW;Leganés;29;1990;6.7;2;0;0;13;11;1;32;6;6;0;0;0;51;7;18;28.0;Matches
147;Gonzalo Escalante\Gonzalo-Escalante;ar ARG;MF;Eibar;26;1993;15.6;7;1;1;28;26;2;14;25;27;1;0;0;208;46;47;49.5;Matches
148;Aarón Escandell\Aaron-Escandell;es ESP;GK;Granada;23;1995;1.0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;;Matches
149;Sergio Escudero\Sergio-Escudero;es ESP;DF;Sevilla;29;1989;4.6;2;0;0;8;4;0;9;11;9;0;1;0;53;13;9;59.1;Matches
150;Bernardo Espinosa\Bernardo-Espinosa;co COL;DF;Espanyol;30;1989;18.0;4;0;0;22;14;1;1;16;14;0;0;0;225;67;46;59.3;Matches
151;Esquerdo\Esquerdo;es ESP;MF;Valencia;20;1999;0.1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;100.0;Matches
152;Pervis Estupiñán\Pervis-Estupinan;ec ECU;DF;Osasuna;21;1998;26.0;6;0;0;28;29;2;118;50;50;0;0;0;281;33;29;53.2;Matches
153;Oghenekaro Etebo\Oghenekaro-Etebo;ng NGA;MF;Getafe;23;1995;3.9;2;0;0;5;4;0;8;9;8;0;0;0;42;12;9;57.1;Matches
154;Beñat Etxebarria\Benat-Etxebarria;es ESP;MF;Athletic Bilbao;32;1987;4.3;0;0;0;2;2;0;21;2;4;0;0;0;43;5;4;55.6;Matches
155;Xabier Etxeita\Xabier-Etxeita;es ESP;DF;Getafe;31;1987;9.5;5;0;0;10;6;0;1;11;5;0;0;0;84;25;20;55.6;Matches
156;Edu Expósito\Edu-Exposito;es ESP;MF;Eibar;22;1996;17.6;3;0;0;17;10;0;10;27;31;0;0;0;201;24;32;42.9;Matches
157;Fabricio\Fabricio;es ESP;GK;Mallorca;31;1987;1.0;1;0;0;1;0;0;0;0;0;0;1;0;6;0;0;;Matches
158;Fayçal Fajr\Faycal-Fajr;ma MAR;MF;Getafe;30;1988;4.3;2;0;0;3;5;0;31;3;1;0;0;0;53;6;9;40.0;Matches
159;Eliseo Falcon\Eliseo-Falcon;es ESP;DFMF;Levante;22;1997;0.8;2;1;1;2;0;0;0;0;0;0;0;0;3;1;0;100.0;Matches
160;Ansu Fati\Ansu-Fati;es ESP;FWDF;Barcelona;16;2002;7.6;2;0;0;12;10;4;19;2;8;0;0;0;41;4;7;36.4;Matches
161;Aleix Febas\Aleix-Febas;es ESP;MF;Mallorca;23;1996;15.6;3;0;0;12;36;0;2;14;22;1;0;0;104;3;15;16.7;Matches
162;Zouhair Feddal\Zouhair-Feddal;ma MAR;DF;Betis;30;1989;9.4;7;2;0;14;7;0;0;18;4;0;0;0;77;20;14;58.8;Matches
163;Ljubomir Fejsa\Ljubomir-Fejsa;rs SRB;MF;Alavés;30;1988;4.1;1;0;0;10;5;0;0;3;8;0;0;0;62;12;5;70.6;Matches
164;Nabil Fekir\Nabil-Fekir;fr FRA;MFFW;Betis;26;1993;20.2;7;1;1;47;84;6;40;12;21;4;0;0;121;16;24;40.0;Matches
