"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
582;Nicolae Stanciu\Nicolae-Stanciu;ro ROU;MF;cz Slavia Prague;26;1993;5.1;0;0;0;20;7;7;35.0;3.90;1.37;0.00;0.00;1.1;1.1;0.05;-1.1;-1.1;Matches
583;Cican Stankovic\Cican-Stankovic;at AUT;GK;at RB Salzburg;26;1992;3.4;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
584;Taras Stepanenko\Taras-Stepanenko;ua UKR;MF;ua Shakhtar;29;1989;6.0;0;0;0;4;1;0;25.0;0.67;0.17;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
585;Raheem Sterling\Raheem-Sterling;eng ENG;FW;eng Manchester City;24;1994;4.8;5;0;0;16;9;1;56.3;3.36;1.89;0.31;0.56;3.8;3.8;0.24;+1.2;+1.2;Matches
586;Petar Stojanović\Petar-Stojanovic;si SVN;DF;hr Dinamo Zagreb;23;1995;5.6;0;0;0;1;0;0;0.0;0.18;0.00;0.00;;0.1;0.1;0.13;-0.1;-0.1;Matches
587;John Stones\John-Stones;eng ENG;DF;eng Manchester City;25;1994;0.5;0;0;0;1;0;0;0.0;1.84;0.00;0.00;;0.2;0.2;0.16;-0.2;-0.2;Matches
588;Luis Suárez\Luis-Suarez;uy URU;FW;es Barcelona;32;1987;4.3;3;0;0;15;8;1;53.3;3.48;1.86;0.20;0.38;2.5;2.5;0.17;+0.5;+0.5;Matches
589;Niklas Süle\Niklas-Sule;de GER;DF;de Bayern Munich;23;1995;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
590;Aleksei Sutormin\Aleksei-Sutormin;ru RUS;MF;ru Zenit;25;1994;0.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
591;Wojciech Szczęsny\Wojciech-Szczesny;pl POL;GK;it Juventus;29;1990;6.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
592;Dominik Szoboszlai\Dominik-Szoboszlai;hu HUN;MF;at RB Salzburg;18;2000;4.4;1;0;0;12;2;1;16.7;2.75;0.46;0.08;0.50;0.8;0.8;0.06;+0.2;+0.2;Matches
